mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02032,Fuensanta,0203201,2019,11697,5669,4021,291,679,1037
02032,Fuensanta,0203201,2018,11377,5290,3798,257,674,1358
02032,Fuensanta,0203201,2017,10443,5072,3580,297,487,1008
02032,Fuensanta,0203201,2016,9997,4512,3468,278,417,1323
02032,Fuensanta,0203201,2015,9461,4382,3335,325,496,923
02033,Fuente-Álamo,0203301,2022,11707,6278,2610,380,759,1680
02033,Fuente-Álamo,0203301,2021,11066,5714,2430,499,704,1718
02033,Fuente-Álamo,0203301,2020,10429,5333,2401,637,637,1421
02033,Fuente-Álamo,0203301,2019,9837,5080,2291,342,606,1517
02033,Fuente-Álamo,0203301,2018,10060,4692,2188,354,533,2293
02033,Fuente-Álamo,0203301,2017,8808,4269,2178,322,449,1590
02033,Fuente-Álamo,0203301,2016,8281,4096,2142,302,401,1340
02033,Fuente-Álamo,0203301,2015,7698,3717,2134,339,413,1096
02034,Fuentealbilla,0203401,2022,12741,7423,2781,374,505,1658
02034,Fuentealbilla,0203401,2021,12141,6854,2600,464,511,1712
02034,Fuentealbilla,0203401,2020,11119,6283,2442,528,492,1373
02034,Fuentealbilla,0203401,2019,11050,6289,2505,314,447,1494
02034,Fuentealbilla,0203401,2018,10239,5685,2409,339,446,1359
02034,Fuentealbilla,0203401,2017,9402,5250,2321,284,374,1172
02034,Fuentealbilla,0203401,2016,8740,4555,2182,311,341,1350
02034,Fuentealbilla,0203401,2015,8590,4105,2339,334,365,1447
02035,"Gineta, La",0203501,2022,13667,8690,2320,356,589,1712
02035,"Gineta, La",0203501,2021,12765,7857,2117,541,559,1692
02035,"Gineta, La",0203501,2020,11819,7182,2123,779,479,1256
02035,"Gineta, La",0203501,2019,11693,7401,2039,337,421,1495
02035,"Gineta, La",0203501,2018,11319,6859,2056,329,462,1614
02035,"Gineta, La",0203501,2017,10765,6680,2041,311,345,1388
02035,"Gineta, La",0203501,2016,10164,6211,2074,372,338,1168
02035,"Gineta, La",0203501,2015,10061,6039,2012,394,353,1263
02036,Golosalvo,0203601,2022,NA,NA,NA,NA,NA,NA
02036,Golosalvo,0203601,2021,13926,NA,NA,NA,NA,NA
02036,Golosalvo,0203601,2020,13573,NA,NA,NA,NA,NA
02036,Golosalvo,0203601,2019,NA,NA,NA,NA,NA,NA
02036,Golosalvo,0203601,2018,10531,3381,4421,453,367,1909
02036,Golosalvo,0203601,2017,8865,2861,3873,439,517,1175
02036,Golosalvo,0203601,2016,8813,2693,3740,386,515,1478
