mun_code,mun_name,district_code,year,gini,p80p20
02043,Lezuza,0204301,2017,27.4,2.1
02043,Lezuza,0204301,2016,28,2.2
02043,Lezuza,0204301,2015,29.2,2.4
02044,Liétor,0204401,2022,29.1,2.4
02044,Liétor,0204401,2021,27.9,2.3
02044,Liétor,0204401,2020,27.6,2.3
02044,Liétor,0204401,2019,28.3,2.2
02044,Liétor,0204401,2018,28.6,2.3
02044,Liétor,0204401,2017,30.9,2.4
02044,Liétor,0204401,2016,28.3,2.6
02044,Liétor,0204401,2015,30.4,2.5
02044,Liétor,0204402,2022,NA,NA
02044,Liétor,0204402,2021,NA,NA
02044,Liétor,0204402,2020,NA,NA
02044,Liétor,0204402,2019,NA,NA
02044,Liétor,0204402,2018,NA,NA
02044,Liétor,0204402,2017,31.6,2.4
02044,Liétor,0204402,2016,32.8,2.7
02044,Liétor,0204402,2015,31.6,2.5
02045,Madrigueras,0204501,2022,29.9,2.5
02045,Madrigueras,0204501,2021,30.4,2.6
02045,Madrigueras,0204501,2020,30.2,2.4
02045,Madrigueras,0204501,2019,29.4,2.4
02045,Madrigueras,0204501,2018,30,2.6
02045,Madrigueras,0204501,2017,31.7,2.6
02045,Madrigueras,0204501,2016,31.4,2.5
02045,Madrigueras,0204501,2015,31.2,2.4
02045,Madrigueras,0204502,2022,29.3,2.4
02045,Madrigueras,0204502,2021,29.4,2.7
02045,Madrigueras,0204502,2020,29.6,2.5
02045,Madrigueras,0204502,2019,29.7,2.5
02045,Madrigueras,0204502,2018,30.2,2.6
02045,Madrigueras,0204502,2017,30.5,2.7
02045,Madrigueras,0204502,2016,31.2,2.6
02045,Madrigueras,0204502,2015,31.2,2.6
02046,Mahora,0204601,2022,29,2.5
02046,Mahora,0204601,2021,29.1,2.5
02046,Mahora,0204601,2020,27.3,2.3
02046,Mahora,0204601,2019,28.2,2.5
02046,Mahora,0204601,2018,28.8,2.5
02046,Mahora,0204601,2017,30,2.4
02046,Mahora,0204601,2016,29.3,2.4
02046,Mahora,0204601,2015,30.2,2.6
02047,Masegoso,0204701,2022,32.6,2.2
02047,Masegoso,0204701,2021,36.3,2.4
02047,Masegoso,0204701,2020,37,2.9
02047,Masegoso,0204701,2019,37.3,2.8
02047,Masegoso,0204701,2018,37.4,2.9
02047,Masegoso,0204701,2017,38.7,2.9
02047,Masegoso,0204701,2016,38.9,3.4
02047,Masegoso,0204701,2015,38.2,3.7
02048,Minaya,0204801,2022,25.8,2.1
02048,Minaya,0204801,2021,26.6,2.3
02048,Minaya,0204801,2020,26.4,2.3
02048,Minaya,0204801,2019,26.8,2.2
02048,Minaya,0204801,2018,27,2.2
02048,Minaya,0204801,2017,27.9,2.2
02048,Minaya,0204801,2016,28.8,2.4
02048,Minaya,0204801,2015,27,2.2
02049,Molinicos,0204901,2022,28.5,2.3
02049,Molinicos,0204901,2021,28.8,2.1
02049,Molinicos,0204901,2020,30.3,2.5
02049,Molinicos,0204901,2019,27.9,2.2
02049,Molinicos,0204901,2018,29.1,2.5
02049,Molinicos,0204901,2017,28.4,2.2
02049,Molinicos,0204901,2016,28.9,2.1
02049,Molinicos,0204901,2015,28.4,2
02050,Montalvos,0205001,2022,NA,NA
02050,Montalvos,0205001,2021,NA,NA
02050,Montalvos,0205001,2020,NA,NA
02050,Montalvos,0205001,2019,NA,NA
02050,Montalvos,0205001,2018,NA,NA
02050,Montalvos,0205001,2017,NA,NA
02050,Montalvos,0205001,2016,32.3,3.2
02050,Montalvos,0205001,2015,40.5,3.4
02051,Montealegre del Castillo,0205101,2022,30.4,2.4
