mun_code,mun_name,year,gini,p80p20
02082,Villatoya,2017,NA,NA
02082,Villatoya,2016,33.8,2.5
02082,Villatoya,2015,34.2,3
02083,Villavaliente,2022,28,2.3
02083,Villavaliente,2021,27.7,2.1
02083,Villavaliente,2020,28.1,2.2
02083,Villavaliente,2019,27.7,2.2
02083,Villavaliente,2018,25.9,2.2
02083,Villavaliente,2017,27.9,2.2
02083,Villavaliente,2016,28.2,2.2
02083,Villavaliente,2015,28,2.5
02084,Villaverde de Guadalimar,2022,27.6,1.9
02084,Villaverde de Guadalimar,2021,28.8,2.5
02084,Villaverde de Guadalimar,2020,28.8,2
