mun_code,mun_name,district_code,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02033,Fuente-Álamo,0203301,2022,10307,24521,15137,13650,11707,27853
02033,Fuente-Álamo,0203301,2021,9789,23459,14324,12950,11066,26520
02033,Fuente-Álamo,0203301,2020,9246,22421,13617,12250,10429,25291
02033,Fuente-Álamo,0203301,2019,8774,21511,12887,11550,9837,24116
02033,Fuente-Álamo,0203301,2018,8853,22036,13152,11550,10060,25039
02033,Fuente-Álamo,0203301,2017,7871,19609,11598,10150,8808,21945
02033,Fuente-Álamo,0203301,2016,7423,18595,11027,9450,8281,20743
02033,Fuente-Álamo,0203301,2015,6937,17693,10434,8750,7698,19635
02034,Fuentealbilla,0203401,2022,11037,27010,16171,14350,12741,31180
02034,Fuentealbilla,0203401,2021,10497,25710,15527,13650,12141,29739
02034,Fuentealbilla,0203401,2020,9697,24464,14409,12250,11119,28052
02034,Fuentealbilla,0203401,2019,9664,24242,14290,12250,11050,27719
02034,Fuentealbilla,0203401,2018,9068,22748,13470,11550,10239,25685
02034,Fuentealbilla,0203401,2017,8291,21265,12347,10850,9402,24113
02034,Fuentealbilla,0203401,2016,7793,20560,11787,10150,8740,23059
02034,Fuentealbilla,0203401,2015,7686,20177,11553,10150,8590,22553
02035,"Gineta, La",0203501,2022,11690,29968,17536,15750,13667,35038
02035,"Gineta, La",0203501,2021,10957,28224,16506,14350,12765,32881
02035,"Gineta, La",0203501,2020,10260,26654,15503,13650,11819,30702
02035,"Gineta, La",0203501,2019,10055,26277,15348,14350,11693,30558
02035,"Gineta, La",0203501,2018,9785,25206,14731,13650,11319,29159
